N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Whisky vol. % 40 ;1926;928;222;0;0;0;0;0;0;68;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0
Vichyvatten;1950;0;0;0;0;0;0;0,3;0,3;99,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;4;0;1;110;0;0
Wienerbrˆd;1643;2141;512;7,1;35,5;40,4;2,5;0,7;1,1;13,4;0;8,5;3,3;3,3;0;13,3;0,2;0,5;0,5;9,5;2,3;0,2;16,2;0,3;15,6;4;;3,4;0;;0,6;;0;0;0;;39;257;255;18;1,5;2,5;;0,17;0,17;0;2;3,2;0,17;0,2;97;8;3;0;0,8;33;121;16;290;1;0,8
Wienerbrˆd fyllt m vaniljkr‰m sylt florsocker;1608;1908;456;6,4;27,3;45,4;2,2;0,7;1,1;17,7;0;3,8;9,5;7,6;0;12,3;0,1;0,5;0,5;9,4;1,6;0,1;10,7;0,1;10,4;3,1;;2,5;0;;0,6;0;0;0;0;1,1;31,8;250;241;111;0,09;4,7;29;0,06;0,18;0;1;2;0,06;0,12;85;39;5;0;0,78;37;130;16;284;4,5;0,67
Wienerkorv fett 15% ;1512;822;196;10;15;5,7;0;2;2,3;67;0;0;0;0;0;6,4;0;0;0,3;3,5;2,3;0;6,7;0,5;6;1,1;;0,9;0;;0,1;;0;0;0;;65;20;19;8;0,1;0,2;;0,14;0,08;0;2,2;4;0,13;0,48;83;4;;0;1,1;10;119;12;800;2;1,82
Wienerkorv fett 23% ;1503;1084;259;9,8;23;3,9;0;2;2,3;61;0;0;0;0;0;8,4;0;0;0,4;5,2;2,7;0,1;11,1;0,9;9,9;2,3;;1,8;0,1;;0,2;;0;0;0,1;;65;11;10;8;0,2;0,3;;0,15;0,09;0;2,3;4,1;0,15;1,1;83;4;;0;1,1;10;119;12;780;2;1,8
Wienerkorv kokt;1540;1147;274;10,4;24,3;4,1;0;2,1;2,4;58,7;0;0;0;0;0;8,9;0;0;0,4;5,5;2,8;0,1;11,7;0,9;10,5;2,5;;1,9;0,1;;0,2;;0;0;0,1;;68,8;11;11;8;0,21;0,3;;0,11;0,07;0;2,4;4,3;0,08;0,76;88;3;;0;1,16;11;121;13;825;2,1;1,9
Wienerkorv stekt;1536;1147;274;10,4;24,3;4,1;0;2,1;2,4;58,7;0;0;0;0;0;8,9;0;0;0,4;5,5;2,8;0,1;11,7;0,9;10,5;2,5;;1,9;0,1;;0,2;;0;0;0,1;;68,8;11;11;8;0,21;0,3;;0,11;0,08;0;2,4;4,3;0,13;0,93;88;3;;0;1,16;11;126;13;825;2,1;1,9
Wienerschnitzel gris;1066;782;187;18,2;9,2;7,5;0,5;1,5;2,6;62;0;0,3;0,3;0,2;1;1,8;0;0;0,1;1,2;0,5;0;4,7;0,1;4,3;2;1;1,4;0;0,4;0,4;0;0;0;0,1;0;69,3;42;41;11;0,83;2,2;7;0,51;0,21;5;7,1;10,5;0,39;0,88;174;12;55;6;1,45;19;342;28;596;11,6;1,76
Vignabˆnor svartˆgda bˆnor torkade;889;1407;336;23;1,5;52,1;9,4;0,1;3,5;10,5;0;1,6;3;3;0;0,4;0;0;0;0,4;0,1;0;0,1;0;0,1;0,6;;0,4;0;;0,3;;0;0;0;0;0;2;0;18;0;0,3;;1,05;0,21;0;2,2;6;0,56;0;425;633;;0;5,8;74;1020;230;35;2;2
Vignabˆnor svartˆgda bˆnor torkade kokta u salt;890;290;69;5,1;0,3;9,1;4,7;0;0,8;80;0;0,8;1,4;1,4;0;0,1;0;0;0;0,1;0;0;0;0;0;0,1;;0,1;0;;0,1;;0;0;0;0;0;1;0;6;0;0,2;;0,16;0,04;2;0,4;1,3;0,05;0;95;208;;0;1,3;17;230;50;8;0,5;0,8
Vildris fullkorn okokt;817;1508;360;14,7;1,1;68,7;6,2;0;1,5;7,8;0;0;0;0;100;0,2;0;0;0;0,1;0;0;0,2;0;0,2;0,7;;0,4;0;;0,3;;0;0;0;0;0;0;0;0;0;0;;0,12;0,26;0;6,7;9,2;0,39;0;433;95;;0;1,96;21;427;177;7;2,8;5,96
Vildsvin bog rÂ;5048;437;104;22,6;1,4;0;0;0,2;1;75;0;0;0;0;0;0,5;0;0;0;0,3;0,1;0;0,5;0;0,4;0,3;0,2;0,2;0;0,1;0;0;0;0;0;0;63,8;3;3;0;0;0,6;0;1,32;0,42;0;5,7;9,8;0,48;1,5;220;1;3;;1,75;4;360;25;66;14,6;3,3
Vildsvin filÈ rÂ;5049;470;112;23,3;1,8;0;0;0,2;1;73,5;0;0;0;0;0;0,6;0;0;0;0,4;0,2;0;0,7;0,1;0,6;0,3;0,2;0,2;0;0,1;0,1;0;0;0;0;0;61,4;2;2;0;0;0,5;0;1,47;0,28;0;7;11,3;0,56;1,22;210;1;2;;1,38;5;360;25;67;10,6;2,42
Vildsvin kˆtt rÂ;5060;448;107;23;1,5;0;0;0,2;1;74,4;0;0;0;0;0;0,5;0;0;0;0,3;0,2;0;0,5;0;0,5;0,3;0,2;0,2;0;0,1;0;0;0;0;0;0;65;2;2;0;0;0,6;0;1,48;0,39;0;6,6;10,8;0,54;1,35;220;2;3;;1,84;4;367;26;66;13;2,74
Vildsvin stek rÂ;5058;437;105;23;1,3;0;0;0,2;1,1;74,7;0;0;0;0;0;0,4;0;0;0;0,2;0,1;0;0,4;0;0,4;0,3;0,2;0,2;0;0,1;0;0;0;0;0;0;69,9;2;2;0;0;0,6;0;1,64;0,46;0;7,2;11,4;0,59;1,33;230;1;3;;2,4;4;380;27;65;13,9;2,51
Vinbladsdolma m ris konserv;824;677;162;2,5;11,3;11,5;2,5;1,5;1,7;70,5;0;1,9;0,1;0,1;0;1,7;0;0;0;1,2;0,4;0;2,7;0;2,6;6,1;;5,4;0;;0,7;0;0;0;0;0,3;0;47;0;557;0;2,2;155;0;0,05;0;0,4;0,8;0,08;0;28;15;1;0;1,01;43;65;8;586;1;0,4
Vindruvor;587;314;75;0,7;0,6;15,7;1,6;0;0,4;81;0;14,7;0,4;0,3;0;0,2;0;0;0;0,2;0;0;0;0;0;0,2;;0,1;0;;0;;0;0;0;0;0;3;0;33;0;0,4;;0,09;0,06;11;0,3;0,4;0,11;0;13;4;0;4;0,3;11;185;9;2;0,4;0,1
Vinglˆgg vol. % 10 ;1912;521;125;0;0;17;0;0;0,3;74,7;8;0,4;16,6;16,6;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0,02;0;0,1;0,1;0,02;0;15;0;;0;1,1;7;110;12;3;0;0,1
Vin‰ger ‰ttiksyra 7 %;1966;126;30;0,4;0;7;0;0,1;0;92,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0,1;0;0;32;0;;0;0,5;15;89;22;20;0;0,1
Vin‰grett dressing fett 45%;26;1834;438;0,7;47,7;3,3;0,2;3,6;3,8;44,3;0;0,3;0;0;0;3,4;0;0;0;2;0,8;0,3;29,2;0,1;28,1;13,1;8,9;9;0;3,7;4;0;0;0;0;0,3;0;0;0;0;0;12,5;61;0,01;0,02;1;0;0,1;0;0;22;0;182;0;0,43;54;59;18;1451;0,9;0,11
Vispgr‰dde fett 40% ;1715;1567;375;2,1;40;3;0;0,1;0,5;54,4;0;0;2,7;0;0;25,6;2,9;1,3;4,2;12,4;4;0,1;10;0,8;8,7;1;0;0,6;0;0;0,3;0;0;0;0;1,3;114,3;369;345;298;0,09;1;12;0,03;0,09;0;0;0,5;0,03;0,36;63;9;7;0;0,04;75;100;7;24;1,3;0,3
Vit choklad;2051;2447;585;6;39,3;52,4;0;0,2;1,5;0,8;0;0;51,8;41,9;0;24,1;0,6;0,3;0,8;9,9;11,7;0,4;11,8;0,2;11,5;1,5;;1,3;0;;0,1;0;0;0;0;0,4;26,1;76;73;31;0,33;0,7;6;0,03;0,42;0;0,3;1,3;0,11;0,53;179;11;23;;0,19;203;311;21;79;2,4;0,74
Vita bˆnor i tomatsÂs;902;325;78;5,8;0,6;7,9;8,5;0,7;1,5;75,6;0;1,2;0,3;0,3;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,4;0,1;0,2;0;0,2;0,2;;0;0;0;0;0;10;0;124;0;0,4;2;0,08;0,03;4;0,6;1,6;0,07;0;104;76;20;0;1,58;62;272;36;265;1,5;0,77
Vita bˆnor i tomatsÂs konserv;901;407;97;5,1;1,2;13,9;5;1,1;1,8;73;0;1,8;3,4;3,4;0;0,2;0;0;0;0,1;0;0;0,1;0;0,1;0,6;;0,3;0;;0,4;;0;0;0;;0;5;0;60;0;0,6;;0,14;0,07;3;0,4;1,3;0,12;0;191;65;;0;1,3;32;265;31;455;0,5;0,3
Vita bˆnor torkade;879;1337;319;22;1,6;45,7;15,8;0;3,9;11;0;1,6;3;3;0;0,2;0;0;0;0,2;0;0;0,1;0;0,1;1;;0,3;0;;0,6;;0;0;0;0;0;1;0;12;0;0,3;;0,65;0,22;0;2,4;6,1;0,56;0;425;488;1;0;5,5;144;1530;184;6;2;2,8
Vita bˆnor torkade kokta m salt;3760;469;112;8,8;0,9;11;12,5;0,5;1,5;65,4;0;0;0,6;0,6;0;0,2;0;0;0;0,1;0;0;0,1;0;0,1;0,5;0,2;0,2;0;0,3;0,3;;0;0;0;0;0;0;0;0;0;0;3;0,13;0,04;0;0,4;1,8;0,11;0;155;160;23;;2,13;78;328;49;212;2;1
Vita bˆnor torkade kokta u salt;880;452;108;7,8;0,6;14,2;7;0;1,4;69;0;0,5;1;1;0;0,1;0;0;0;0,1;0;0;0;0;0;0,4;;0,1;0;;0,2;;0;0;0;0;0;0;0;4;0;0,1;;0,14;0,07;0;0,7;2;0,13;0;148;81;;0;2,7;50;415;49;7;1;1
Vita vinb‰r;4589;227;54;1,4;0,2;9,5;4,3;0;0,7;84;0;6,8;0,6;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;25;0;0,1;13;0,04;0,05;46;0,1;0,3;0,07;0;44;9;1;;1;33;275;13;1;0,6;0,23
VitkÂl;370;123;30;1,1;0,1;4,7;2,6;0;0,7;90,8;0;5,3;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;1;0;6;0;0;44;0,05;0;46;0,3;0,5;0,17;0;24;19;1;20;0,21;41;240;11;7;0;0,12
VitkÂl kokt;465;123;29;1,1;0,1;4,7;2,6;0,4;1,1;90,4;0;5,3;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;0;0;6;0;0;44;0,03;0;21;0,3;0,5;0,1;0;24;13;21;20;0,21;41;201;11;169;0;0,12
VitkÂlssallad m lingonsylt;468;268;64;0,9;0,1;13,5;2,2;0;0,5;82,7;0;10;3,6;3,6;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;1;0;8;0;0,2;32;0,04;0,01;34;0,3;0,4;0,13;0;20;14;1;15;0,23;34;189;9;10;0,1;0,11
VitkÂlssallad pizzasallad;467;370;88;0,9;7,2;4,2;2;0,6;1,1;84,5;0;4,2;0,3;0,3;0;0,5;0;0;0;0,3;0,1;0;4,4;0;4,2;2;1,3;1,4;0;0,6;0,6;0;0;0;0;0;0;0;0;5;0;1,9;44;0,04;0;39;0,3;0,4;0,13;0;20;16;28;16;0,19;34;196;9;223;0,1;0,1
VitkÂlssoppa m fl‰skkorv hemlagad;505;196;47;2,2;3,4;1,6;0,7;0,6;1,1;91;0;1,1;0;0;0;1,6;0;0;0,1;0,9;0,5;0;1,4;0,1;1,3;0,4;;0,3;0;;0;;0;0;0;;11;3;1;26;0,04;0,1;;0,01;0,03;7;0,7;1,1;0,05;0,2;29;21;;0;0,3;15;94;6;250;0,5;0,2
VitkÂlssoppa m frikadeller;508;238;57;3,1;3,5;2,8;1;1;1,4;88,2;0;2,1;0,5;0,3;0;1;0;0;0,1;0,6;0,3;0;1,7;0,1;1,6;0,6;0,3;0,4;0;0,1;0,1;0;0;0;0;0;11,8;11;9;22;0,16;0,6;19;0,05;0,03;8;0,6;1,2;0,06;0,13;40;8;36;8;0,3;27;128;9;384;1,1;0,58
VitkÂlssoppa vegetarisk;464;131;31;0,8;1,7;2,6;1,2;0,7;1;92,7;0;2,5;0,2;0,2;0;0,2;0;0;0;0,1;0,1;0;1;0;0,9;0,5;0,3;0,3;0;0,1;0,1;0;0;0;0;0;0;8;5;41;0,08;0,5;22;0,02;0,01;10;0,2;0,3;0,05;0;15;9;0;9;0,14;22;115;7;272;0;0,06
VitkÂlsstuvning hemlagad;432;287;69;2,3;3,3;6,8;1,3;0,7;1,3;85;0;2;2,1;0,1;0;1,2;0,2;0,1;0,2;0,6;0;0;1,1;0,1;1,1;0,4;;0,3;0;;0,1;;0;0;0;;6;41;34;84;0,21;0,3;;0,04;0,08;19;0,4;0,8;0,08;0,2;52;38;;0;0,4;59;137;9;270;0,8;0,2
Vitling filÈ panerad stekt;1339;716;171;19;7,8;6;0,3;1,4;2,5;64,3;0;0,1;0,1;0;1;1;0;0;0;0,6;0,2;0;4,1;0,1;3,9;2;1,2;1,3;0;0,5;0,5;0;0;0;0,1;0;75,8;41;40;12;1,1;2,3;9;0,08;0,08;0;2,1;5,7;0,16;0,74;201;17;62;50;0,55;56;374;27;563;25,5;0,67
Vitling kokt;1338;426;102;23,4;0,8;0;0;1;2,3;73,5;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,2;0;0,1;0,2;;0;0;;0;;0,1;0;0,1;0;63,9;4;4;0;0,89;0,3;;0,06;0,06;0;2,6;6,8;0,22;0,92;234;11;40;66;0,39;65;473;31;379;31,9;0,64
Vitling rÂ;1247;333;80;18,3;0,6;0;0;0,1;1,2;79,9;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,2;0;0,1;0,2;;0;0;;0;;0;0;0,1;0;50;3;3;0;0,7;0,2;;0,05;0,05;0;2;5,4;0,18;0,8;183;12;;52;0,3;50;370;24;50;25;0,5
Vitlˆk;371;668;160;6,4;0,5;31,1;1,5;0;1,5;59;0;3;0,9;0,9;0;0,1;0;0;0;0,1;0;0;0;0;0;0,3;;0,2;0;;0;;0;0;0;0;0;0;0;0;0;0;;0,2;0,11;31;0,7;1,8;0,13;0;153;3;3;13;1,7;181;400;25;17;20;1
Vitt brˆd fibrer 3,5% ospec;202;1111;266;8,2;3,6;47,7;3,5;1;1,5;35,5;0;2;2,4;0,1;0;0,4;0;0;0;0,3;0,1;0;1,2;0;1,2;0,8;;0,6;0;;0,1;0;0;0;0;0,1;0;18;18;6;0;0,9;4;0,22;0,09;0;2,1;3,5;0,19;0,14;142;37;2;0;1,12;44;174;29;400;4,4;0,75
Vitt brˆd fibrer ca 5% typ PÂgenlimpan Skogaholmslimpa;3795;1031;246;6,8;2;46,6;6;0,8;1,4;37,2;0;8,7;1,8;0;0;0,2;0;0;0;0,2;0;0;0,6;0;0,6;0,4;0,4;0,4;0;0,1;0,1;;0;0;0;0;0;0;0;0;0;0,5;2;0,28;0,07;0;1;2,2;0,18;0;95;34;1;;1,01;22;184;29;325;3,2;0,84
Vitt brˆd fibrer ca 6% typ ƒntligen mjukbrˆd;3792;1126;269;6,8;4,4;46,7;6,6;1;1,4;34,1;0;5,8;2,2;0;0;0,4;0;0;0;0,2;0,1;0;1,6;0;1,6;1;0,7;0,7;0;0,2;0,2;;0;0;0;0;0;0;0;5;0;1,3;7;0,29;0,04;0;2,8;3,9;0,19;0;110;16;0;;0,8;36;127;24;381;0;0,61
Vitt brˆd fullkorn typ fiberfranska mjˆlk fibrer ca 4% ;196;1124;269;8,6;2,4;50,4;4;1,2;1,5;33,1;0;0,3;4,1;0,1;19;0,4;0;0;0;0,3;0,1;0;0,6;0;0,5;0,4;;0,4;0;;0;;0;0;0;;0,8;30;30;0;0,28;0,2;;0,3;0,1;0;2,8;4,2;0,14;0,2;241;36;;0;1;49;268;93;485;1,4;2
Vitt brˆd grov baguette fullkorn surdeg fibrer 4,4% bakad i butik;201;1089;260;7,6;1,2;51,7;4,4;1,3;1,8;33,3;0;0,2;5,2;0,1;5;0,2;0;0;0;0,1;0;0;0,1;0;0,1;0,5;;0,4;0;;0;0;0;0;0;0;2;4;4;2;0;0,1;0;0,17;0,05;1;1,4;2,7;0,13;0;94;32;1;0;0,97;20;157;25;536;2,6;0,74
Vitt brˆd mjˆlk fibrer ca 4% typ tekaka;3819;1194;285;8,1;4,1;51,2;4,2;0,7;1,2;31,2;0;4,2;1,8;0;0;0,8;0;0;0;0,6;0,1;0;1,2;0;1,2;0,8;;0,7;0;;0,1;0;0;0;0;;0,8;33;33;0;0,3;0,6;;0,22;0,14;0;2,4;3,8;0,18;0,16;104;33;;0;0,81;35;138;20;267;1,4;0,78
Vitt brˆd ostfralla vatten fibrer  ca 3% ;222;1149;275;11,5;3,4;47,2;3,1;1,2;1,9;32,9;0;1,3;1,7;0;0;0,7;1,5;0;0;0,5;0,2;0;0,9;0;0,7;0,7;;0,6;0;;0,1;0;0;0;0;;8,4;22;21;10;0;0,3;;0,21;0,11;0;2,3;4,2;0,2;0;162;41;;0;0,84;109;123;17;468;1,5;0,84
Vitt brˆd osˆtat typ italienskt fibrer ca 2,5%;198;1070;256;8,6;1,4;50,2;2,5;1,2;1,7;35,7;0;0,3;2,1;0;0;0,3;0;0;0;0,2;0,1;0;0,4;0;0,3;0,3;;0,3;0;;0;0;0;0;0;;0;0;0;0;0;0,3;;0,26;0,16;0;3,7;5,1;0,29;0;115;30;;0;0,8;29;115;14;481;1;0,6
Vitt brˆd tortilla fibrer 4,6% ;203;1283;307;7,9;6,8;50,6;4,6;1,7;2,5;27,6;0;0;1,7;0,5;0;2,5;0;0;0,1;2,1;0,3;0;2,4;0;2,3;1;;0,9;0;;0;0;0;0;0;0,1;0;0;3;2;0,63;1,2;1;0,12;0,03;0;0,9;1,7;0,08;0;211;17;6;0;0,66;48;137;18;685;5;0,56
Vitt brˆd typ baguette fibrer ca 6% ;199;1207;288;10,3;1,9;54;5,7;1,3;2;26,2;0;0,2;2,2;0;0;0,4;0;0;0;0,3;0,1;0;0,5;0;0,4;0,4;;0,3;0;;0;0;0;0;0;;0;0;0;0;0;0,9;;0,3;0,11;0;4,1;5,8;0,34;0;164;27;;0;3,2;30;222;80;501;2,1;1,56
Vitt brˆd typ Hˆnˆkaka mjˆlk fibrer ca 3% ;204;1228;293;7,4;3,1;56,7;3;0,5;0,9;28,9;0;7,5;0,9;0;0;0,6;0;0;0;0,4;0,1;0;0,9;0;0,8;0,6;;0,5;0;;0,1;0;0;0;0;;0;48;48;0;0;0,3;;0,25;0,12;0;3,1;4,3;0,24;0;92;27;;0;0,78;38;125;16;200;1;0,67
Vitt brˆd vatten typ franska fibrer ca 3% ;197;1085;259;8,3;2,4;48,8;3,2;1,1;1,8;35,5;0;0,3;1,9;0;0;0,4;0;0;0;0,3;0,1;0;0,6;0;0,5;0,4;;0,4;0;;0;0;0;0;0;;0;16;16;0;0,15;0,5;;0,26;0,15;0;3,1;4,5;0,26;0;113;29;;0;0,85;28;138;15;435;1,1;0,64
Vitt brˆd vatten typ pitabrˆd fibrer ca 3,5% ;193;1145;274;8,6;1,6;53,6;3,4;1,2;1,7;31,1;0;0,7;1,1;0;0;0,3;0;0;0;0,2;0,1;0;0,4;0;0,4;0,3;;0,3;0;;0;0;0;0;0;;0;0;0;0;0;0,5;;0,16;0,03;0;1,3;2,7;0,11;0;112;18;;0;1,15;20;141;37;461;1,4;0,94
Vitt pulver till kaffe 35% fett;1725;2328;557;4,8;35,5;54,9;0;0,5;2,6;2,2;0;0;54;0;0;32,7;2,8;13,7;6;3,8;6,4;0;1;0;1;0;;0;0;;0;;0;0;0;;0;10;0;120;0;0;;0;0,16;0;0;1,1;0;0;422;0;;0;1,2;22;812;4;181;0;0,5
Vitt vin  vol. % 1;1904;71;17;0;0;2,8;0;0;0,3;96,1;0,8;2,4;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;20;0;;0;0,6;44;70;3;3;0,1;0
Vitt vin el rhenvin  vol. % 10;1909;295;71;0,1;0;3,8;0;0;0,2;88;7,9;2,9;0,9;0,9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0,01;0;0,1;0,1;0,01;0;13;0;;0;0,4;44;90;3;3;0,1;0
Vitt vin halvtorrt el halvsˆtt vol. % 12,5 ;1908;340;81;0,1;0;3;0;0;0,2;86,8;9,9;2,4;0,6;0,6;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0,01;0;0,1;0,1;0,01;0;20;0;0;0;0,6;44;70;3;3;0,1;0
Vitt vin sˆtt vol. % 13,5 ;1910;414;99;0,2;0;5,9;0;0;0,3;82,9;10,7;5,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0,01;0;0,1;0,1;0,01;0;27;0;;0;1,1;44;110;3;3;0,1;0
Vitt vin torrt vol. % 12 ;1911;282;68;0;0;0,4;0;0;0,3;89,8;9,5;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0,01;0;0,1;0,1;0,02;0;22;0;;0;0,5;44;65;3;4;0,1;0
Wokgrˆnsaker Asiatiska wokade i rapsolja;424;204;49;1,4;1,3;5,7;4,3;0,6;1,3;86;0;2,1;2,3;2,3;0;0,1;0;0;0;0,1;0;0;0,7;0;0,7;0,4;;0;0;;0,1;0;0;0;0;0;2;257;0;2600;0;1,3;21;0,06;0,06;10;0,5;0,7;0,15;0,06;37;42;2;0;0,64;44;226;16;220;5;0,35
Wokgrˆnsaker Classic wokade i rapsolja;425;198;47;1,8;1,6;4,9;3,1;0,2;0,8;87,8;0;1,8;1,6;1,6;0;0,2;0;0;0;0,1;0;0;0,8;0;0,8;0,5;;0,4;0;;0,2;0;0;0;0;0;2;326;0;3310;0;1,4;35;0,04;0,07;11;0,7;1;0,17;0,08;47;75;2;0;0,55;33;229;18;79;5;0,46
Wokgrˆnsaker m kyckling nudlar;518;422;101;5,6;4,6;8,6;1,2;0,9;1,4;78,7;0;2,8;1,6;1,6;0;1,1;0;0;0;0,9;0,2;0;2,3;0,1;2,1;1;;0,8;0;;0,2;0;0;0;0;;15,6;125;22;1160;0,29;1,5;26;0,04;0,07;11;1,5;2,5;0,19;0,16;81;34;5;0;1,36;25;175;15;340;4,3;0,48
Wokgrˆnsaker m nudlar;543;340;81;1,7;4,1;8,1;2,5;0,7;1,3;82,3;0;2,9;1,6;1,6;0;0,6;0;0;0;0,5;0,1;0;1,8;0;1,7;0,9;;0,6;0;;0,2;0;0;0;0;;2;150;21;1450;0,28;1,2;32;0,04;0,04;9;0,5;0,8;0,18;0,12;35;28;0;0;1,99;32;191;13;262;3,2;0,24
Vol-au-vent m r‰kstuvning;770;1062;254;6,7;14,4;24,2;0,6;1,4;1,8;52,1;0;0,1;7,5;6,8;0;6,5;0,6;0,3;0,8;3,6;0,9;0;5;0,2;4,8;2;0,8;1,4;0;0,3;0,4;0;0;0;0;0,3;61,9;118;69;67;0,7;2,5;5;0,13;0,05;1;1,2;2,4;0,09;0,81;72;12;40;13;0,44;23;70;16;546;6,2;0,5
Wrap vetetortilla m fetaost oliver sallad vitlˆksdressing;792;731;175;5,1;7,5;20,1;2,9;1;1,6;62,7;0;0,4;0,4;0;0;3,1;0,2;0,1;0,3;1,8;0,6;0;2,8;0,1;2,7;1;;0,9;0;;0,2;0;0;0;0;;8,5;29;22;87;0,1;1,1;9;0,1;0,05;11;0,7;1,9;0,09;0,1;130;27;4;0;1,83;96;154;14;388;1,8;0,44
Wrap vetetortilla m kycklingfajitas gr‰ddfil sallad;786;569;136;5,7;7,1;11,1;2,6;1,2;1,9;71,6;0;3,2;1;0,6;0;1,9;0,1;0;0,2;1,2;0,4;0;3,4;0,1;3,2;1,4;;1;0;;0,4;0;0;0;0;;16,4;60;35;294;1,08;2,3;13;0,08;0,07;0;2,8;3,8;0,25;0,18;104;21;3;0;1,15;49;245;17;461;2,5;0,39
Wrap vetetortilla m spenat ris kˆttf‰rs ost;785;595;142;7,9;3,3;19,3;1,3;0,8;1,3;66,9;0;1,2;1,1;0,9;0;1,2;0;0;0,1;0,6;0,4;0;1,4;0,1;1,3;0,4;;0,3;0;;0,1;0;0;0;0;;15,1;24;18;64;0,1;0,2;7;0,06;0,09;0;1,7;3,1;0,13;0,38;93;18;4;0;1,03;33;187;15;335;2,5;1,36
VÂffelstrut glasstrut ofylld;1636;1739;416;6,3;6,4;80,8;2,6;0,6;1,1;2,8;0;0,3;25,4;25,2;0;4,6;0,7;2,2;0,8;0,6;0,2;0;0,5;0;0,5;1;;0,9;0;;0,1;0;0;0;0;0,1;2;0;0;2;0;0,3;2;0,02;0,03;0;0,9;1,9;0,07;0;114;16;2;0;0,61;22;137;21;236;5;0,55
VÂfflor frasvÂfflor;737;1354;324;3,8;24,7;21,6;0,7;0,1;0,4;48,7;0;0;1,6;0,1;0;14,9;1,6;0,8;2,2;7,5;2,2;0;6,6;0,4;5,9;1,4;0,2;0,9;0;0,1;0,3;0;0;0;0;0,7;60,7;223;177;149;0,43;1,1;6;0,14;0,07;0;1,1;1,8;0,1;0,14;61;9;4;0;0,35;41;81;10;51;1,3;0,36
VÂfflor ‰ggvÂfflor;736;1182;282;6;19;22;0,7;0,7;1,4;50,9;0;0,1;3,1;0;0;2,6;0,1;0;0,1;1,5;0,5;0,1;10,4;0,1;10;4,9;3;3,5;0;1,2;1,3;0;0;0;0;0,1;40,6;85;81;41;1,21;4,9;20;0,16;0,15;0;1,1;2,3;0,12;0,41;162;18;29;1;0,51;119;138;14;276;4;0,61
